标题,作者,点赞,点击,评论,收藏,点赞比（越小越好）,第 30 个百分位数,第 90 个百分位数,
幻象诱捕,llAstra37ll,89,"3,529",9,7,39.65169 ,,,
鸦头与猎人小姐的365天,eryngoblade,3,144,0,1,48.00000 ,,,
【祁煜】嘉兰,wangshuwanzhao,16,601,1,1,37.56250 ,,,
Dirty Dice,YvonneWen,7,"1,023",0,1,146.14286 ,,,
穿越恋与深空之直面修罗场,Rmthedg,53,"1,780",11,5,33.58491 ,,,
驯豹,LexyTH,6,601,3,0,100.16667 ,,,
[刘嬴]神殿之下,Shu_ziYan,15,"1,420",0,2,94.66667 ,,,
【武华】天降情缘,Earl_see_the_world,0,333,0,0,0.00000 ,,,
【夏以昼&我】伥鬼,flame0A0,9,632,3,1,70.22222 ,,,
Sylus: Memoria,sutabakkusu,347,"8,441",25,35,24.32565 ,,,
Trouble in Paradise [Sylus x GenderNeutral!Reader],TojiFushiguro,4,126,0,1,31.50000 ,,,
【恋与深空】水煎包合集,Afterglow0222,45,"4,494",0,3,99.86667 ,,,
《兵符》,Fansile_L,2,823,0,0,411.50000 ,,,
太平,Sotai_Miyabi,0,44,0,0,0.00000 ,,,
蟑螂药,orphan_account,4,988,0,0,247.00000 ,,,
【彻回】清算日,jmann,29,445,0,0,15.34483 ,,,
光夜/深空GB 剥夺,JL0919,20,589,5,1,29.45000 ,,,
【恋与深空ALL&我】猎人小姐的站街日记,flame0A0,267,"7,853",66,26,29.41199 ,,,
光夜/深空GB 搞点赛博炮友转正,JL0919,21,521,7,4,24.80952 ,,,
【深空全员】《小狗塔罗》,Hezoe_523,41,"4,692",1,0,114.43902 ,,,
光夜/深空 炖肉三十题GB版,JL0919,59,"3,001",13,8,50.86441 ,,,
【深空全员】《小狗禁食期》,Hezoe_523,"1,154","103,809",242,115,89.95581 ,,,
光夜/深空GB 标记他吧,JL0919,44,"1,388",6,6,31.54545 ,,,
【黎深】和司命大人的日与夜,Goldfishdrew,111,"4,727",2,5,42.58559 ,,,
[刘嬴/嬴刘]咸阳假日,Shu_ziYan,4,271,0,0,67.75000 ,,,
【恋与深空】你们拥有同一只性瘾小狗,Hezoe_523,271,"27,196",18,41,100.35424 ,,,
卑劣,Ofrian,28,"3,206",4,3,114.50000 ,,,
怀璧,Tata_Squirrel,33,"1,584",0,3,48.00000 ,,,
前排兜售灭蟑螂药消毒水,orphan_account,31,"1,453",0,0,46.87097 ,,,
踩,orphan_account,15,"1,056",0,0,70.40000 ,,,
总体来说情感交流更加重要,xdkk0609,27,"1,064",6,5,39.40741 ,,,
【淮翊】夜深花睡去,Jeccity1005,2,"1,037",0,0,518.50000 ,,,
愫姑娘在线耍酒疯,RuoyizhiXi,15,"1,742",0,0,116.13333 ,,,
【究惑】他，他。,Paraly,6,387,0,0,64.50000 ,,,
[彻政]青山客,Sue_K,3,158,0,0,52.66667 ,,,
生日夜，狂欢夜（上）,sugarett,6,986,0,0,164.33333 ,,,
[彻政]风流去,Sue_K,1,225,0,0,225.00000 ,,,
哀的美敦书,tfjds,143,"3,533",23,19,24.70629 ,,,
��𝖔𝖙𝖍,aurenoelia,7,336,0,1,48.00000 ,,,
【恋与深空】同人｜哨向｜沈星回的场合 - 第一次跟猎人小姐精神链接,ClariceWen,4,268,0,0,67.00000 ,,,
【游淮】陇西行,faunozheng,0,90,0,0,0.00000 ,,,
全员恶人【恋与深空】,YayoiHomura,52,"2,063",3,3,39.67308 ,,,
获麟 3,BTPFM,16,"3,156",11,0,197.25000 ,,,
【政斯】秦总与李秘不得不说的二三事,Weiyang208,61,"4,770",4,6,78.19672 ,,,
【响盛】摩伊拉的积木6——黑船、黑箱、黑色与妻书,MENGMENG1,6,518,1,0,86.33333 ,,,
Drunk（深红）,IraShinking,76,"8,586",5,5,112.97368 ,,,
【龙蟒】一出喜剧,Arran82,30,"1,751",28,1,58.36667 ,,,
凤求凰,Chess_dove,100,"11,795",0,2,117.95000 ,,,
