标题,作者,点赞,点击,评论,收藏,点赞比（越小越好）,第 30 个百分位数,第 90 个百分位数,
要么就一如既往非常听话不敢乱动小狗,chocolatte2,2,812,0,0,406.00000 ,,,
【彻回/鸦兔】明暗之外,dobbyeslibero,33,843,1,0,25.54545 ,,,
引火（婚后/daddy彻）,Anchortram,176,"9,974",8,24,56.67045 ,,,
【回彻/星鸦】夜袭,baishuibaishui,189,"5,738",141,15,30.35979 ,,,
【恋与深空】宿敌是不可以上床的,Silanna,27,"1,907",0,1,70.62963 ,,,
【戀與深空｜秦徹x獵人小姐】經期勿擾,lazyevalina,16,317,2,1,19.81250 ,,,
真猫假猫！,autumnfish0122,24,"1,440",3,0,60.00000 ,,,
【彻回/鸦星】临界反应,wekijaki,32,809,2,1,25.28125 ,,,
夜袭•欲望盛宴,Sutasy,30,900,0,2,30.00000 ,,,
笼中夜,moon_dumpling,146,"6,335",10,10,43.39041 ,,,
【回彻/星鸦】夜袭,baishuibaishui,189,"5,738",141,15,30.35979 ,,,
如果爱忘了,yujingzheng,10,221,0,0,22.10000 ,,,
【恋与深空】宿敌是不可以上床的,Silanna,27,"1,907",0,1,70.62963 ,,,
【戀與深空｜秦徹x獵人小姐】獨居在外要小心,lazyevalina,24,333,4,0,13.87500 ,,,
【彻回/鸦星】临界反应,wekijaki,32,809,2,1,25.28125 ,,,
夜袭•欲望盛宴,Sutasy,30,900,0,2,30.00000 ,,,
心痒,SuMing1105,24,498,12,2,20.75000 ,,,
一丝不挂,lozlover,83,"3,625",1,8,43.67470 ,,,
【哥x黎】追星爱情,ELTH77,15,446,0,0,29.73333 ,,,
刺杀不死者,kokonana,84,"1,915",4,5,22.79762 ,,,
绯闻投资人,yyyyloveu,32,"2,159",0,6,67.46875 ,,,
有效冷战,HelloMoto0914,54,"1,744",19,4,32.29630 ,,,
【回彻/星鸦】第一次把暗点老大肏了,NoireXD,5,452,0,1,90.40000 ,,,
【鸦鱼/PWP】假戏真做,Dr_xiao233,37,"1,167",7,4,31.54054 ,,,
短篇存档,lozlover,4,337,0,0,84.25000 ,,,
红月,nhhfbsq,7,527,0,0,75.28571 ,,,
【彻回/鸦星】双重禁锢,D_Young,13,335,1,1,25.76923 ,,,
逃跑后被两个顶级主人囚禁了（二）,12coolcool,73,"4,837",5,4,66.26027 ,,,
乳钉,Jiang_chi,11,301,5,0,27.36364 ,,,
【戀與深空｜秦徹X獵人小姐】室內社交距離應保持1.5公尺,lazyevalina,13,317,0,0,24.38462 ,,,
小小鸦日记,yujingzheng,11,217,0,0,19.72727 ,,,
【彻回】猎物2,Suu_ouo,11,821,0,2,74.63636 ,,,
非常规挺入·约定,Fluoriteum_zz,11,572,0,0,52.00000 ,,,
真猫假猫！,autumnfish0122,24,"1,440",3,0,60.00000 ,,,
初吻,HasegawaYayoi,26,"1,632",5,0,62.76923 ,,,
daddy久别重逢,mojiuxiaobaobei,17,"1,366",0,1,80.35294 ,,,
宿敌一百三十五日,lingomanda,102,"5,600",2,20,54.90196 ,,,
【彻回/鸦星】暗点首领会养兔子吗,zhu352691923,25,878,0,0,35.12000 ,,,
最近你迷上一个地下拳击手,nanabala,21,719,3,5,34.23810 ,,,
【回彻/星鸦】Alphabet Challenge,ObliviateX,25,559,6,1,22.36000 ,,,
纵情狂欢（续）,YaowanQC,15,575,6,1,38.33333 ,,,
【彻回】猎物1,Suu_ouo,5,712,0,0,142.40000 ,,,
小猫神,Jiang_chi,21,304,2,2,14.47619 ,,,
非常规挺入·还礼,Fluoriteum_zz,12,830,0,0,69.16667 ,,,
【彻回/鸦星】狩猎之日,未找到作者,82,"2,557",18,2,31.18293 ,,,
【彻回/鸦星】巴甫洛夫的兔子,未找到作者,40,871,3,3,21.77500 ,,,
夜色如醉,L1993,118,"3,352",12,18,28.40678 ,,,
上锁的房间（未）,SellingFriedRice,2,319,0,0,159.50000 ,,,
生生世世,SuMing1105,5,480,2,0,96.00000 ,,,
【戀與深空｜秦徹X獵人小姐】請支援訂房,lazyevalina,9,222,0,0,24.66667 ,,,
【彻回/鸦星】槲寄生下的死对头,未找到作者,16,242,2,0,15.12500 ,,,
成人礼,SuMing1105,25,"1,604",2,0,64.16000 ,,,
纵情狂欢（续）,YaowanQC,15,575,6,1,38.33333 ,,,
非常规挺入·合作,Fluoriteum_zz,16,"1,118",0,0,69.87500 ,,,
初吻,HasegawaYayoi,26,"1,632",5,0,62.76923 ,,,
【彻回/鸦星】生花,未找到作者,36,547,5,2,15.19444 ,,,
不凑巧,BEchoAN,48,818,3,1,17.04167 ,,,
优质利用（未扩写）,SellingFriedRice,1,43,0,0,43.00000 ,,,
夜色如醉,L1993,118,"3,352",12,18,28.40678 ,,,
非常规挺入·还礼,Fluoriteum_zz,12,830,0,0,69.16667 ,,,
宿敌一百三十五日,lingomanda,102,"5,600",2,20,54.90196 ,,,
落于无尘,nanabala,48,"2,337",0,2,48.68750 ,,,
【彻回/鸦星】暗点首领会养兔子吗,zhu352691923,25,878,0,0,35.12000 ,,,
入套,xiaohuailll,6,155,0,0,25.83333 ,,,
【戀與深空｜秦徹X獵人小姐】請支援訂房,lazyevalina,9,222,0,0,24.66667 ,,,
【彻回/鸦星】诺亚方舟,未找到作者,24,267,2,1,11.12500 ,,,
【回彻/星鸦】Alphabet Challenge,ObliviateX,25,559,6,1,22.36000 ,,,
【彻回/鸦星】监视上瘾,未找到作者,18,419,1,1,23.27778 ,,,
【彻回/鸦星】不公平的对弈,未找到作者,98,"2,356",9,8,24.04082 ,,,
【彻回】血月,未找到作者,68,"1,338",16,2,19.67647 ,,,
【彻回/鸦星】星夜叙曲,未找到作者,15,435,0,0,29.00000 ,,,
【戀與深空｜秦徹X獵人小姐】請支援訂房,lazyevalina,9,222,0,0,24.66667 ,,,
【彻回/鸦星】诺亚方舟,未找到作者,24,267,2,1,11.12500 ,,,
【回彻/星鸦】Alphabet Challenge,ObliviateX,25,559,6,1,22.36000 ,,,
【彻回/鸦星】监视上瘾,未找到作者,18,419,1,1,23.27778 ,,,
【彻回/鸦星】不公平的对弈,未找到作者,98,"2,356",9,8,24.04082 ,,,
【彻回】血月,未找到作者,68,"1,338",16,2,19.67647 ,,,
上锁的房间（未）,SellingFriedRice,2,319,0,0,159.50000 ,,,
生生世世,SuMing1105,5,480,2,0,96.00000 ,,,
【恋与深空】引燃,yandear,86,"6,208",1,1,72.18605 ,,,
【回彻】暗点首领的秘密,clin_f,21,"2,270",3,2,108.09524 ,,,
第六扇衣柜（未）,SellingFriedRice,2,376,0,0,188.00000 ,,,
【恋与深空】18岁的生日愿望是永远离开夏以昼,Effilist,13,449,0,1,34.53846 ,,,
非法同居,SuMing1105,41,"1,782",9,6,43.46341 ,,,
试用课程（未扩写）,SellingFriedRice,0,70,0,0,0.00000 ,,,
暗点老大在我的床上做狗,zifan,29,"2,997",1,0,103.34483 ,,,
【戀與深空｜秦徹X獵人小姐｜H】〈Play with fire〉,lazyevalina,34,"1,376",0,1,40.47059 ,,,
【GB】事已至此,haru_co,16,765,5,0,47.81250 ,,,
反制驯服（未扩）,SellingFriedRice,1,146,0,0,146.00000 ,,,
焰尾鱼,IrisShahn,12,"1,436",2,1,119.66667 ,,,
反制驯服（未扩）,SellingFriedRice,1,146,0,0,146.00000 ,,,
焰尾鱼,IrisShahn,12,"1,436",2,1,119.66667 ,,,
暗点乌鸦也会有触手Evol吗？,TakayoWhite,31,"2,313",7,3,74.61290 ,,,
【彻回】无题,doawaitforme,111,"4,595",24,3,41.39640 ,,,
【彻回/鸦星】眸光何处,未找到作者,81,"1,934",16,2,23.87654 ,,,
烈女,XiaLiShelly,5,762,0,0,152.40000 ,,,
和小狸花同居,5haw,55,"1,076",2,2,19.56364 ,,,
【鸦星/彻回】穿上衣服谁也不认识谁,erziliu,34,"1,183",6,3,34.79412 ,,,
【鸦鱼/ABO】利莫里亚小女仆,Dr_xiao233,49,"1,505",0,3,30.71429 ,,,
Withered Feather/枯萎之羽,Verloreneseelen,8,952,0,2,119.00000 ,,,
【秦徹x你】女朋友生氣了怎麼哄（上）,Chron0x,22,"1,238",1,0,56.27273 ,,,
【放个标签还没写完】,RainrainLalaland,7,450,0,1,64.28571 ,,,
【恋与深空】囚,smallcircle,286,"14,576",3,6,50.96503 ,,,
论共鸣evol的正确使用方法,melongliyu,72,"3,164",10,6,43.94444 ,,,
【彻回/暗光】往事,未找到作者,4,300,0,0,75.00000 ,,,
【彻回/鸦星】关于他和他的几件小事,未找到作者,12,323,1,1,26.91667 ,,,
For Night,Yuliya817520,16,"1,067",4,2,66.68750 ,,,
难捱【薛明薛影x我】,chujingmao,229,"7,076",42,17,30.89956 ,,,
【彻回/鸦星】做恨小技巧,IshipSyvier,45,"2,151",1,2,47.80000 ,,,
【彻回/论坛体】818某男团设定宿敌的两人,未找到作者,8,278,0,0,34.75000 ,,,
【彻回/论坛体】🐶日的男铜把钱还我,未找到作者,5,340,1,0,68.00000 ,,,
【彻回/鸦星】做恨小技巧,IshipSyvier,45,"2,151",1,2,47.80000 ,,,
【回彻】绿洲俘获时,clin_f,22,901,8,0,40.95455 ,,,
和小狸花同居,5haw,55,"1,076",2,2,19.56364 ,,,
我不准你们再开趴,hawthorneking,26,"1,779",2,0,68.42308 ,,,
狸花猫观察手记,BAILUOBEI,16,707,3,0,44.18750 ,,,
危险礼物（未）,SellingFriedRice,0,170,0,0,0.00000 ,,,
【恋与深空 ｜🌟🐟🐦】爱欲之海,Peipei_Sheng,194,"6,012",21,10,30.98969 ,,,
回到未来,Varacolaci,47,"1,736",6,5,36.93617 ,,,
绯闻投资人,yyyyloveu,47,"1,572",0,6,33.44681 ,,,
吸血鬼派对（未）,SellingFriedRice,0,147,0,0,0.00000 ,,,
【鸦鱼七夕贺文】三日情人,Dr_xiao233,11,510,2,2,46.36364 ,,,
七夕节礼物,canghaole,18,"1,230",0,0,68.33333 ,,,
信息素安抚（续）,WwwlwwW,11,"1,197",0,1,108.81818 ,,,
恋与催眠,harumasaki,506,"25,349",18,42,50.09684 ,,,
【彻回】我们,Suu_ouo,3,175,0,0,58.33333 ,,,
雪夜玫瑰,SSSiren,45,825,6,5,18.33333 ,,,
逆流,Dolce1010,12,678,2,1,56.50000 ,,,
跟N109区爆了,Feng_zi,27,"1,077",6,1,39.88889 ,,,
纵情狂欢,YaowanQC,12,636,8,1,53.00000 ,,,
【鸦鱼七夕贺文】三日情人,Dr_xiao233,11,510,2,2,46.36364 ,,,
被黑帮老大强制睡后,Marius_Princess,21,"2,759",3,1,131.38095 ,,,
【彻回】爱与恨,Suu_ouo,11,479,1,0,43.54545 ,,,
战利品,melongliyu,44,"2,083",6,5,47.34091 ,,,
【恋与深空】四人行,sanfenre_niupai,42,"4,867",0,1,115.88095 ,,,
【回彻/星鸦】骨科by燃青,baishuibaishui,15,571,4,0,38.06667 ,,,
凉,Primrose49,50,"1,541",3,1,30.82000 ,,,
【恋与深空】他们热衷的性爱场所,ChenBoLa,197,"24,823",1,6,126.00508 ,,,
《养女》,canghaole,11,731,0,0,66.45455 ,,,
《破窗》,Js_Cxxi,12,515,0,2,42.91667 ,,,
久别重逢,Y1lolitut,23,"1,359",0,1,59.08696 ,,,
【彻回】【ON AIR】猎兔屋,shootingstars16,47,762,3,0,16.21277 ,,,
酩酊大醉,Dougo,10,664,2,0,66.40000 ,,,
跟N109区爆了,Feng_zi,27,"1,077",6,1,39.88889 ,,,
if 久候狂欢之徒,Dolce1010,7,463,0,0,66.14286 ,,,
